parcel_id,khasra_no,khata_no,village,village_hi,tehsil,tehsil_hi,district,district_hi,owner_name,owner_name_hi,father_name,father_name_hi,area_hectares,area_acres,area_bigha,area_sqm,land_type,soil_type,irrigation_source,market_value_per_ha,circle_rate,last_mutation_date,mutation_status,encumbrance_status,litigation_status,tribal_sensitive,forest_distance_km,highway_distance_km,data_source,wkt_geometry,centroid_lat,centroid_lng,min_lat,min_lng,max_lat,max_lng,is_pilot
CG-RAI-0011,150/2,KH-110,Semra,सेमरा,Raipur Khas,रायपुर खास,Raipur,रायपुर,Rajesh Verma,राजेश वर्मा,Late Bhupendra Verma,स्व. भूपेंद्र वर्मा,4.5,11.12,17.78,45000.0,RESIDENTIAL,Dorsa (Medium Clay-Loam),Rainfed,18.0,13.5,2023-01-15,Mutated,Nil / Unencumbered,Pending Boundary Case,0,2.5,1.2,synthetic_voronoi,"POLYGON((81.617469 21.235131, 81.618216 21.233884, 81.617039 21.230000, 81.614534 21.230000, 81.613945 21.234420, 81.617469 21.235131))",21.23259,81.616012,21.23,81.613945,21.235131,81.618216,1
CG-RAI-0012,155/3,KH-111,Bhanpuri,भानपुरी,Raipur Khas,रायपुर खास,Raipur,रायपुर,Phoolchand Chandrakar,फूलचंद चंद्राकर,Late Ghanshyam Chandrakar,स्व. घनश्याम चंद्राकर,4.5,11.12,17.78,45000.0,COMMERCIAL,Dorsa (Medium Clay-Loam),Rainfed,18.0,13.5,2023-01-15,Mutated,Nil / Unencumbered,Disposed Appeal,0,2.5,1.2,synthetic_voronoi,"POLYGON((81.617469 21.235131, 81.613945 21.234420, 81.613499 21.234677, 81.612747 21.237688, 81.614129 21.238952, 81.618135 21.238050, 81.617469 21.235131))",21.236716,81.615341,21.23442,81.612747,21.238952,81.618135,1
CG-RAI-0013,160/1,KH-112,Raipur_Village_A,ग्राम अ,Raipur Khas,रायपुर खास,Raipur,रायपुर,Suresh Sahu,सुरेश साहू,Late Rameshwar Sahu,स्व. रामेश्वर साहू,4.5,11.12,17.78,45000.0,IRRIGATED,Matasi (Yellow Clay Soil),Mahanadi Canal Network,12.5,9.5,2023-01-15,Mutated,Nil / Unencumbered,No dispute,0,2.5,1.2,synthetic_voronoi,"POLYGON((81.618135 21.238050, 81.614129 21.238952, 81.613814 21.241227, 81.615399 21.243018, 81.618020 21.242442, 81.618190 21.238096, 81.618135 21.238050))",21.240536,81.61617,21.23805,81.613814,21.243018,81.61819,0
CG-RAI-0014,165/2,KH-113,Raipur_Village_B,ग्राम ब,Raipur Khas,रायपुर खास,Raipur,रायपुर,Anita Patel,अनीता पटेल,Gopal Patel,गोपाल पटेल,4.5,11.12,17.78,45000.0,RAIN_FED,Dorsa (Medium Clay-Loam),Rainfed,12.5,9.5,2023-01-15,Mutated,Nil / Unencumbered,SDM Court Stay Order,0,2.5,1.2,synthetic_voronoi,"POLYGON((81.618020 21.242442, 81.615399 21.243018, 81.614231 21.245712, 81.614333 21.245879, 81.617554 21.247324, 81.619283 21.245583, 81.618213 21.242596, 81.618020 21.242442))",21.244854,81.616871,21.242442,81.614231,21.247324,81.619283,0
CG-RAI-0015,170/3,KH-114,Semra,सेमरा,Raipur Khas,रायपुर खास,Raipur,रायपुर,Devendra Kashyap,देवेंद्र कश्यप,Late Ramesh Kashyap,स्व. रमेश कश्यप,4.5,11.12,17.78,45000.0,BANJAR,Dorsa (Medium Clay-Loam),Rainfed,12.5,9.5,2023-01-15,Mutated,Nil / Unencumbered,Pending Boundary Case,1,2.5,1.2,synthetic_voronoi,"POLYGON((81.613484 21.249699, 81.613556 21.249779, 81.617508 21.249961, 81.617769 21.249624, 81.617554 21.247324, 81.614333 21.245879, 81.613484 21.249699))",21.248272,81.615634,21.245879,81.613484,21.249961,81.617769,1
CG-RAI-0016,175/1,KH-115,Bhanpuri,भानपुरी,Raipur Khas,रायपुर खास,Raipur,रायपुर,Bhupendra Kanwar,भूपेंद्र कंवर,Late Ramesh Kanwar,स्व. रमेश कंवर,4.5,11.12,17.78,45000.0,FOREST,Dorsa (Medium Clay-Loam),Rainfed,12.5,9.5,2023-01-15,Mutated,Nil / Unencumbered,Disposed Appeal,0,2.5,1.2,synthetic_voronoi,"POLYGON((81.613885 21.253465, 81.617234 21.253489, 81.617508 21.249961, 81.613556 21.249779, 81.613649 21.253300, 81.613885 21.253465))",21.25164,81.615478,21.249779,81.613556,21.253489,81.617508,1
CG-RAI-0017,180/2,KH-116,Raipur_Village_A,ग्राम अ,Raipur Khas,रायपुर खास,Raipur,रायपुर,Chaitanya Yadav,चैतन्य यादव,Late Rajesh Yadav,स्व. राजेश यादव,4.5,11.12,17.78,45000.0,RESIDENTIAL,Dorsa (Medium Clay-Loam),Rainfed,18.0,13.5,2023-01-15,Mutated,Nil / Unencumbered,No dispute,0,2.5,1.2,synthetic_voronoi,"POLYGON((81.618259 21.257069, 81.617970 21.254301, 81.617234 21.253489, 81.613885 21.253465, 81.613644 21.257443, 81.614387 21.258146, 81.616942 21.258223, 81.618259 21.257069))",21.255822,81.615868,21.253465,81.613644,21.258223,81.618259,0
CG-RAI-0018,185/3,KH-117,Raipur_Village_B,ग्राम ब,Raipur Khas,रायपुर खास,Raipur,रायपुर,Budhram Mandavi,बुधराम मंडावी,Sukhlal Mandavi,सुखलाल मंडावी,4.5,11.12,17.78,45000.0,COMMERCIAL,Dorsa (Medium Clay-Loam),Rainfed,18.0,13.5,2023-01-15,Mutated,Nil / Unencumbered,SDM Court Stay Order,0,2.5,1.2,synthetic_voronoi,"POLYGON((81.616910 21.262406, 81.617289 21.261864, 81.616942 21.258223, 81.614387 21.258146, 81.612646 21.261483, 81.614606 21.262734, 81.616910 21.262406))",21.260489,81.615259,21.258146,81.612646,21.262734,81.617289,0
CG-RAI-0019,190/1,KH-118,Semra,सेमरा,Raipur Khas,रायपुर खास,Raipur,रायपुर,Kamla Agrawal,कमला अग्रवाल,Murarilal Agrawal,मुरारीलाल अग्रवाल,4.5,11.12,17.78,45000.0,IRRIGATED,Matasi (Yellow Clay Soil),Mahanadi Canal Network,12.5,9.5,2023-01-15,Mutated,Nil / Unencumbered,Pending Boundary Case,0,2.5,1.2,synthetic_voronoi,"POLYGON((81.617789 21.265620, 81.616910 21.262406, 81.614606 21.262734, 81.613804 21.266344, 81.617789 21.265620))",21.26443,81.61577,21.262406,81.613804,21.266344,81.617789,1
CG-RAI-0020,195/2,KH-119,Bhanpuri,भानपुरी,Raipur Khas,रायपुर खास,Raipur,रायपुर,Lokesh Netam,लोकेश नेताम,Mangal Netam,मंगल नेताम,4.5,11.12,17.78,45000.0,RAIN_FED,Dorsa (Medium Clay-Loam),Rainfed,12.5,9.5,2023-01-15,Mutated,Nil / Unencumbered,Disposed Appeal,0,2.5,1.2,synthetic_voronoi,"POLYGON((81.617789 21.265620, 81.613804 21.266344, 81.613654 21.266482, 81.614531 21.270000, 81.617736 21.270000, 81.618861 21.266480, 81.617789 21.265620))",21.267829,81.61626,21.26562,81.613654,21.27,81.618861,1
CG-RAI-0021,200/3,KH-120,Raipur_Village_A,ग्राम अ,Raipur Khas,रायपुर खास,Raipur,रायपुर,Rajesh Verma,राजेश वर्मा,Late Bhupendra Verma,स्व. भूपेंद्र वर्मा,4.5,11.12,17.78,45000.0,BANJAR,Dorsa (Medium Clay-Loam),Rainfed,12.5,9.5,2023-01-15,Mutated,Nil / Unencumbered,No dispute,0,2.5,1.2,synthetic_voronoi,"POLYGON((81.621755 21.233205, 81.621579 21.230000, 81.617039 21.230000, 81.618216 21.233884, 81.621755 21.233205))",21.231715,81.619564,21.23,81.617039,21.233884,81.621755,0
CG-RAI-0022,205/1,KH-121,Raipur_Village_B,ग्राम ब,Raipur Khas,रायपुर खास,Raipur,रायपुर,Phoolchand Chandrakar,फूलचंद चंद्राकर,Late Ghanshyam Chandrakar,स्व. घनश्याम चंद्राकर,4.5,11.12,17.78,45000.0,FOREST,Dorsa (Medium Clay-Loam),Rainfed,12.5,9.5,2023-01-15,Mutated,Nil / Unencumbered,SDM Court Stay Order,1,2.5,1.2,synthetic_voronoi,"POLYGON((81.622245 21.237489, 81.622851 21.234132, 81.621755 21.233205, 81.618216 21.233884, 81.617469 21.235131, 81.618135 21.238050, 81.618190 21.238096, 81.621499 21.238145, 81.622245 21.237489))",21.235754,81.620195,21.233205,81.617469,21.238145,81.622851,0
CG-RAI-0023,210/2,KH-122,Semra,सेमरा,Raipur Khas,रायपुर खास,Raipur,रायपुर,Suresh Sahu,सुरेश साहू,Late Rameshwar Sahu,स्व. रामेश्वर साहू,4.5,11.12,17.78,45000.0,RESIDENTIAL,Dorsa (Medium Clay-Loam),Rainfed,18.0,13.5,2023-01-15,Mutated,Nil / Unencumbered,Pending Boundary Case,0,2.5,1.2,synthetic_voronoi,"POLYGON((81.621499 21.238145, 81.618190 21.238096, 81.618020 21.242442, 81.618213 21.242596, 81.622215 21.241881, 81.622510 21.241516, 81.621499 21.238145))",21.240287,81.620023,21.238096,81.61802,21.242596,81.62251,1
CG-RAI-0024,215/3,KH-123,Bhanpuri,भानपुरी,Raipur Khas,रायपुर खास,Raipur,रायपुर,Anita Patel,अनीता पटेल,Gopal Patel,गोपाल पटेल,4.5,11.12,17.78,45000.0,COMMERCIAL,Dorsa (Medium Clay-Loam),Rainfed,18.0,13.5,2023-01-15,Mutated,Nil / Unencumbered,Disposed Appeal,0,2.5,1.2,synthetic_voronoi,"POLYGON((81.622215 21.241881, 81.618213 21.242596, 81.619283 21.245583, 81.622218 21.246134, 81.622219 21.246133, 81.622215 21.241881))",21.243937,81.620565,21.241881,81.618213,21.246134,81.622219,1
CG-RAI-0025,220/1,KH-124,Raipur_Village_A,ग्राम अ,Raipur Khas,रायपुर खास,Raipur,रायपुर,Devendra Kashyap,देवेंद्र कश्यप,Late Ramesh Kashyap,स्व. रमेश कश्यप,4.5,11.12,17.78,45000.0,IRRIGATED,Matasi (Yellow Clay Soil),Mahanadi Canal Network,12.5,9.5,2023-01-15,Mutated,Nil / Unencumbered,No dispute,0,2.5,1.2,synthetic_voronoi,"POLYGON((81.617554 21.247324, 81.617769 21.249624, 81.622092 21.250041, 81.622229 21.249941, 81.622218 21.246134, 81.619283 21.245583, 81.617554 21.247324))",21.247917,81.620057,21.245583,81.617554,21.250041,81.622229,0
CG-RAI-0026,225/2,KH-125,Raipur_Village_B,ग्राम ब,Raipur Khas,रायपुर खास,Raipur,रायपुर,Bhupendra Kanwar,भूपेंद्र कंवर,Late Ramesh Kanwar,स्व. रमेश कंवर,4.5,11.12,17.78,45000.0,RAIN_FED,Dorsa (Medium Clay-Loam),Rainfed,12.5,9.5,2023-01-15,Mutated,Nil / Unencumbered,SDM Court Stay Order,0,2.5,1.2,synthetic_voronoi,"POLYGON((81.617508 21.249961, 81.617234 21.253489, 81.617970 21.254301, 81.621280 21.252916, 81.622092 21.250041, 81.617769 21.249624, 81.617508 21.249961))",21.251712,81.61937,21.249624,81.617234,21.254301,81.622092,0
CG-RAI-0027,230/3,KH-126,Semra,सेमरा,Raipur Khas,रायपुर खास,Raipur,रायपुर,Chaitanya Yadav,चैतन्य यादव,Late Rajesh Yadav,स्व. राजेश यादव,4.5,11.12,17.78,45000.0,BANJAR,Dorsa (Medium Clay-Loam),Rainfed,12.5,9.5,2023-01-15,Mutated,Nil / Unencumbered,Pending Boundary Case,0,2.5,1.2,synthetic_voronoi,"POLYGON((81.618259 21.257069, 81.621644 21.258147, 81.623187 21.254953, 81.621280 21.252916, 81.617970 21.254301, 81.618259 21.257069))",21.255524,81.62049,21.252916,81.61797,21.258147,81.623187,1
CG-RAI-0028,235/1,KH-127,Bhanpuri,भानपुरी,Raipur Khas,रायपुर खास,Raipur,रायपुर,Budhram Mandavi,बुधराम मंडावी,Sukhlal Mandavi,सुखलाल मंडावी,4.5,11.12,17.78,45000.0,FOREST,Dorsa (Medium Clay-Loam),Rainfed,12.5,9.5,2023-01-15,Mutated,Nil / Unencumbered,Disposed Appeal,0,2.5,1.2,synthetic_voronoi,"POLYGON((81.622302 21.262072, 81.622380 21.261969, 81.621866 21.258473, 81.621644 21.258147, 81.618259 21.257069, 81.616942 21.258223, 81.617289 21.261864, 81.622302 21.262072))",21.25981,81.619555,21.257069,81.616942,21.262072,81.62238,1
CG-RAI-0029,240/2,KH-128,Raipur_Village_A,ग्राम अ,Raipur Khas,रायपुर खास,Raipur,रायपुर,Kamla Agrawal,कमला अग्रवाल,Murarilal Agrawal,मुरारीलाल अग्रवाल,4.5,11.12,17.78,45000.0,RESIDENTIAL,Dorsa (Medium Clay-Loam),Rainfed,18.0,13.5,2023-01-15,Mutated,Nil / Unencumbered,No dispute,1,2.5,1.2,synthetic_voronoi,"POLYGON((81.618861 21.266480, 81.621326 21.265804, 81.621757 21.265308, 81.622302 21.262072, 81.617289 21.261864, 81.616910 21.262406, 81.617789 21.265620, 81.618861 21.266480))",21.263901,81.619617,21.261864,81.61691,21.26648,81.622302,0
CG-RAI-0030,245/3,KH-129,Raipur_Village_B,ग्राम ब,Raipur Khas,रायपुर खास,Raipur,रायपुर,Lokesh Netam,लोकेश नेताम,Mangal Netam,मंगल नेताम,4.5,11.12,17.78,45000.0,COMMERCIAL,Dorsa (Medium Clay-Loam),Rainfed,18.0,13.5,2023-01-15,Mutated,Nil / Unencumbered,SDM Court Stay Order,0,2.5,1.2,synthetic_voronoi,"POLYGON((81.617736 21.270000, 81.622848 21.270000, 81.621326 21.265804, 81.618861 21.266480, 81.617736 21.270000))",21.268285,81.620279,21.265804,81.617736,21.27,81.622848,0
CG-RAI-0031,250/1,KH-130,Semra,सेमरा,Raipur Khas,रायपुर खास,Raipur,रायपुर,Rajesh Verma,राजेश वर्मा,Late Bhupendra Verma,स्व. भूपेंद्र वर्मा,4.5,11.12,17.78,45000.0,IRRIGATED,Matasi (Yellow Clay Soil),Mahanadi Canal Network,12.5,9.5,2023-01-15,Mutated,Nil / Unencumbered,Pending Boundary Case,0,2.5,1.2,synthetic_voronoi,"POLYGON((81.621579 21.230000, 81.621755 21.233205, 81.622851 21.234132, 81.625623 21.233550, 81.626248 21.230000, 81.621579 21.230000))",21.231838,81.623801,21.23,81.621579,21.234132,81.626248,1
CG-RAI-0032,255/2,KH-131,Bhanpuri,भानपुरी,Raipur Khas,रायपुर खास,Raipur,रायपुर,Phoolchand Chandrakar,फूलचंद चंद्राकर,Late Ghanshyam Chandrakar,स्व. घनश्याम चंद्राकर,4.5,11.12,17.78,45000.0,RAIN_FED,Dorsa (Medium Clay-Loam),Rainfed,12.5,9.5,2023-01-15,Mutated,Nil / Unencumbered,Disposed Appeal,0,2.5,1.2,synthetic_voronoi,"POLYGON((81.622851 21.234132, 81.622245 21.237489, 81.626304 21.238389, 81.625767 21.233668, 81.625623 21.233550, 81.622851 21.234132))",21.236004,81.624389,21.23355,81.622245,21.238389,81.626304,1
CG-RAI-0033,260/3,KH-132,Raipur_Village_A,ग्राम अ,Raipur Khas,रायपुर खास,Raipur,रायपुर,Suresh Sahu,सुरेश साहू,Late Rameshwar Sahu,स्व. रामेश्वर साहू,4.5,11.12,17.78,45000.0,BANJAR,Dorsa (Medium Clay-Loam),Rainfed,12.5,9.5,2023-01-15,Mutated,Nil / Unencumbered,No dispute,0,2.5,1.2,synthetic_voronoi,"POLYGON((81.626521 21.238584, 81.626304 21.238389, 81.622245 21.237489, 81.621499 21.238145, 81.622510 21.241516, 81.626339 21.241821, 81.626521 21.238584))",21.239706,81.624133,21.237489,81.621499,21.241821,81.626521,0
CG-RAI-0034,265/1,KH-133,Raipur_Village_B,ग्राम ब,Raipur Khas,रायपुर खास,Raipur,रायपुर,Anita Patel,अनीता पटेल,Gopal Patel,गोपाल पटेल,4.5,11.12,17.78,45000.0,FOREST,Dorsa (Medium Clay-Loam),Rainfed,12.5,9.5,2023-01-15,Mutated,Nil / Unencumbered,SDM Court Stay Order,0,2.5,1.2,synthetic_voronoi,"POLYGON((81.626433 21.241956, 81.626339 21.241821, 81.622510 21.241516, 81.622215 21.241881, 81.622219 21.246133, 81.625339 21.245536, 81.626433 21.241956))",21.24364,81.62401,21.241516,81.622215,21.246133,81.626433,0
CG-RAI-0035,270/2,KH-134,Semra,सेमरा,Raipur Khas,रायपुर खास,Raipur,रायपुर,Devendra Kashyap,देवेंद्र कश्यप,Late Ramesh Kashyap,स्व. रमेश कश्यप,4.5,11.12,17.78,45000.0,RESIDENTIAL,Dorsa (Medium Clay-Loam),Rainfed,18.0,13.5,2023-01-15,Mutated,Nil / Unencumbered,Pending Boundary Case,0,2.5,1.2,synthetic_voronoi,"POLYGON((81.625237 21.250649, 81.626420 21.250012, 81.626991 21.247264, 81.625339 21.245536, 81.622219 21.246133, 81.622218 21.246134, 81.622229 21.249941, 81.625237 21.250649))",21.248095,81.624457,21.245536,81.622218,21.250649,81.626991,1
CG-RAI-0036,275/3,KH-135,Bhanpuri,भानपुरी,Raipur Khas,रायपुर खास,Raipur,रायपुर,Bhupendra Kanwar,भूपेंद्र कंवर,Late Ramesh Kanwar,स्व. रमेश कंवर,4.5,11.12,17.78,45000.0,COMMERCIAL,Dorsa (Medium Clay-Loam),Rainfed,18.0,13.5,2023-01-15,Mutated,Nil / Unencumbered,Disposed Appeal,1,2.5,1.2,synthetic_voronoi,"POLYGON((81.622092 21.250041, 81.621280 21.252916, 81.623187 21.254953, 81.625259 21.254378, 81.625237 21.250649, 81.622229 21.249941, 81.622092 21.250041))",21.25241,81.62346,21.249941,81.62128,21.254953,81.625259,1
CG-RAI-0037,280/1,KH-136,Raipur_Village_A,ग्राम अ,Raipur Khas,रायपुर खास,Raipur,रायपुर,Chaitanya Yadav,चैतन्य यादव,Late Rajesh Yadav,स्व. राजेश यादव,4.5,11.12,17.78,45000.0,IRRIGATED,Matasi (Yellow Clay Soil),Mahanadi Canal Network,12.5,9.5,2023-01-15,Mutated,Nil / Unencumbered,No dispute,0,2.5,1.2,synthetic_voronoi,"POLYGON((81.625259 21.254378, 81.623187 21.254953, 81.621644 21.258147, 81.621866 21.258473, 81.626557 21.257868, 81.625302 21.254405, 81.625259 21.254378))",21.25666,81.62416,21.254378,81.621644,21.258473,81.626557,0
CG-RAI-0038,285/2,KH-137,Raipur_Village_B,ग्राम ब,Raipur Khas,रायपुर खास,Raipur,रायपुर,Budhram Mandavi,बुधराम मंडावी,Sukhlal Mandavi,सुखलाल मंडावी,4.5,11.12,17.78,45000.0,RAIN_FED,Dorsa (Medium Clay-Loam),Rainfed,12.5,9.5,2023-01-15,Mutated,Nil / Unencumbered,SDM Court Stay Order,0,2.5,1.2,synthetic_voronoi,"POLYGON((81.626714 21.257974, 81.626557 21.257868, 81.621866 21.258473, 81.622380 21.261969, 81.625215 21.262014, 81.626936 21.260993, 81.626714 21.257974))",21.259974,81.624459,21.257868,81.621866,21.262014,81.626936,0
CG-RAI-0039,290/3,KH-138,Semra,सेमरा,Raipur Khas,रायपुर खास,Raipur,रायपुर,Kamla Agrawal,कमला अग्रवाल,Murarilal Agrawal,मुरारीलाल अग्रवाल,4.5,11.12,17.78,45000.0,BANJAR,Dorsa (Medium Clay-Loam),Rainfed,12.5,9.5,2023-01-15,Mutated,Nil / Unencumbered,Pending Boundary Case,0,2.5,1.2,synthetic_voronoi,"POLYGON((81.622302 21.262072, 81.621757 21.265308, 81.625635 21.266497, 81.626668 21.265633, 81.625215 21.262014, 81.622380 21.261969, 81.622302 21.262072))",21.26416,81.624122,21.261969,81.621757,21.266497,81.626668,1
CG-RAI-0040,295/1,KH-139,Bhanpuri,भानपुरी,Raipur Khas,रायपुर खास,Raipur,रायपुर,Lokesh Netam,लोकेश नेताम,Mangal Netam,मंगल नेताम,4.5,11.12,17.78,45000.0,FOREST,Dorsa (Medium Clay-Loam),Rainfed,12.5,9.5,2023-01-15,Mutated,Nil / Unencumbered,Disposed Appeal,0,2.5,1.2,synthetic_voronoi,"POLYGON((81.621757 21.265308, 81.621326 21.265804, 81.622848 21.270000, 81.625602 21.270000, 81.625635 21.266497, 81.621757 21.265308))",21.267766,81.623712,21.265308,81.621326,21.27,81.625635,1
CG-RAI-0041,300/2,KH-140,Raipur_Village_A,ग्राम अ,Raipur Khas,रायपुर खास,Raipur,रायपुर,Rajesh Verma,राजेश वर्मा,Late Bhupendra Verma,स्व. भूपेंद्र वर्मा,4.5,11.12,17.78,45000.0,RESIDENTIAL,Dorsa (Medium Clay-Loam),Rainfed,18.0,13.5,2023-01-15,Mutated,Nil / Unencumbered,No dispute,0,2.5,1.2,synthetic_voronoi,"POLYGON((81.630255 21.233964, 81.630330 21.230000, 81.626248 21.230000, 81.625623 21.233550, 81.625767 21.233668, 81.629576 21.234463, 81.630255 21.233964))",21.232091,81.628161,21.23,81.625623,21.234463,81.63033,0
